title;rating;chapters;description;url
How to Live As the Vampire Lord;;58;"Vampire Eugene -- a sacrificial lamb slaughtered after half a year of running to fulfil the desires of a templar for fame. He was given a second chance at life after concluding his life with regrets. ""I will never again die the same way. If I really did return to the past, no matter what it takes... I will never regret again.""";https://demonicscans.org/manga/How-to-Live-As-the-Vampire-Lord
How to Send My Husband to the Abyss;;67;A noblewoman becomes the Empress' spy by marrying a mysterious count, only to discover he's far more dangerous than expected. Determined to expose his dark secrets, she plays a deadly game where the hunter might become the hunted.;https://demonicscans.org/manga/How-to-Send-My-Husband-to-the-Abyss
Hua Tuo Reincarnated as a Modern Surgical Genius;;51;The doctor, possessing medical skills worthy of being called a divine doctor, breathes his last in prison, not from Cao Cao’s curse, but from another curse… ‘Am I not dead yet?’ Awakening to excruciating pain, he saw… strange objects and characters he had never seen before! “Wh-what is going on? Am I… am I possessing a doctor’s body from another world?” The memories of the body’s owner, Lee Minho, flooded into Hua Tuo’s mind like a torrent. No matter how different this world may be, how can such a world exist?!;https://demonicscans.org/manga/Hua-Tuo-Reincarnated-as-a-Modern-Surgical-Genius
Human Natural Enemy;;41;Once feared as the most lethal killer known as Blade Rabbit, he now lives a quiet life under the name Goya, a humble chef. But peace doesn't last. One day, a mysterious girl named Jin Seonu walks into his restaurant-- carrying an indescribable, intoxicating scent that awakens his long-dormant instincts. Drawn by that same scent, former comrades and killers--his Natural Enemies--begin to appear, each with their own mission and hunger. As predators close in and past lives collide, Goya finds himself torn between the instinct to protect... and the desire to possess. What lies at the end of this bloodstained feast of obsession?;https://demonicscans.org/manga/Human-Natural-Enemy
I Became a Cheat-Level Skill Thief;;40;"Crash was once scorned as a ""failure"" and betrayed by his own companions. But at death's door, what he obtained was a single chance at regression--a one-time return to the past. The regression skill can never be used again. However, armed with knowledge of the future from that single do-over, Crash sets out this time to save the world from destruction and exact revenge on those who trampled him in his previous life. Steal skills. Refine them. Accumulate them. An ultimate ""skill thief"" that surpasses even cheats now awakens!";https://demonicscans.org/manga/I-Became-a-Cheat%25252DLevel-Skill-Thief
I Became a Mage in a Medieval Fantasy World;;36;"""Ian Raven"" ""You are... nothing."" In a medieval fantasy world, a boy named Ian is reincarnated as the son of an ordinary farmer. Just as the status window declared, Ian lived a life as ""no one."" Then one day, the mage Elendis appears before him. And for the simple reason that he ""has black hair mentioned in a prophecy,"" she takes Ian in as her disciple. After six years of harsh training, Ian finally sets out on an adventure as a mage. ...But this medieval fantasy world is far more complicated than it seems! He shudders at its outrageous standards of hygiene, and grows angry at the unfathomable selfishness of people. From a boy who was nothing, to a mage who will change the world-- This is the chaotic adventure story of Ian, a mage in a medieval fantasy world!";https://demonicscans.org/manga/I-Became-a-Mage-in-a-Medieval-Fantasy-World
I Became a Swordsmanship Instructor at the Academy;;50;"The protagonist is reincarnated in the body of ""Kageyama Ayumu,"" a background character from a popular novel. Ayumu decides to leave saving the world to the original protagonists and enjoy a wealthy, carefree life without interfering with the novel's plot. However, he discovers discrimination against non-Hunter school graduates at the school where he works. To avoid being looked down upon by his fellow teachers, and to lead a comfortable life, Ayumu begins his reincarnation journey, determined to become strong enough to protect himself... even if it means slightly altering the original story.";https://demonicscans.org/manga/I-Became-a-Swordsmanship-Instructor-at-the-Academy
I Became the Berserker of the World I Created;;40;The protagonist is a young man who keeps writing an unpopular web novel to support his sick mother. However, one day, due to a mysterious contract suddenly offered to him, he is transferred into the world of his own novel, The Conqueror Hero Chronicles. He is not reincarnated as the main character, but as a side character named Attila. Struggling to survive in the harsh alternate world, Attila participates in tribal conflicts alongside his father, the Chief Munzuk, and distinguishes himself in numerous battles. Attila embarks on a journey to find clues to return to his original world, and while following the trajectory of the original story, he leads a mercenary group, challenging and winning many fierce battles. He eventually faces off against the novel's protagonist, Charles, and achieves victory, which elevates his fame. However, due to this influence, the history of the novel gradually begins to deviate from the original course. Will Attila be able to return to his original world? And where will his magnificent story ultimately lead? This is the start of a 100% satisfying alternate world battle fantasy, depicting growth alongside comrades and fierce struggles against destiny!;https://demonicscans.org/manga/I-Became-the-Berserker-of-the-World-I-Created
I Became the Master of the Weakest Demon King;;34;"After criticizing the ending of the game ""Evil Queen Maker"" the protagonist is pulled inside as the Demon King's teacher and must raise the weakest Demon King, 7-year-old Seere, into the strongest ruler in order to escape.";https://demonicscans.org/manga/I-Became-the-Master-of-the-Weakest-Demon-King
I Became The Rogue First Prince;;51;After living hundreds of years as a sword, I suddenly reincarnate into the body of a fifteen-year-old delinquent prince.;https://demonicscans.org/manga/I-Became-The-Rogue-First-Prince
I Became the Successor of the Martial God;;46;"One day, I suddenly became the protagonist of a game. However, the more you look at this protagonist... the more you'll sigh. He's got the worst stats, the worst talent and zero connections. But still... You have acquired [Heavenly Martial Physique]. You have become the master of the [Martial God's Tome]. ""So what? I'm the ultimate veteran player!"" He's not just a veteran player-- he's a full-blown obsessive maniac. Thus begins the legendary playthrough of a hardcore veteran!";https://demonicscans.org/manga/I-Became-the-Successor-of-the-Martial-God
I Became the Ultimate Necromancer Through the Cursed Skill: Undeadification;;30;"Due to the appearance of mysterious spaces called ""dungeons"" all over the world, most people have awakened to supernatural abilities called ""skills,"" but the protagonist, a young boy named Yuga, has not awakened to any abilities. Yuga admires Jaeger, who uses his ""skills"" to explore the ""dungeon,"" but since he is powerless, he works as a ""corpse disposal team (demolisher)"" who disposes of the corpses of monsters that have been defeated, as a subcontractor for Jaeger for a small reward... One day, while ""Jaeger"" is disposing of the remains of a Cyclops that he had defeated, the monster that was not yet dead goes on a rampage, and the members of the corpse disposal team are killed one after another...! A mysterious being in the form of the Grim Reaper appears before Yuga's eyes at the last moment! A heroic tale of a powerless protagonist who awakens to the forbidden ability of [undead transformation] and rules the dungeon as the strongest necromancer!";https://demonicscans.org/manga/I-Became-the-Ultimate-Necromancer-Through-the-Cursed-Skill%253A-Undeadification
I Became The Villain The Hero Is Obsessed With;;60;I became the villain in the story of a hero. So I was about to quit after fighting the main character. But she's obsessed with me. Why...?;https://demonicscans.org/manga/I-Became-The-Villain-The-Hero-Is-Obsessed-With
I Dominate the Apocalypse by Cultivating Immortality;;40;Craft celestial-grade treasures from apocalyptic scraps, and roam the wastelands of the end times using immortal cultivation techniques. With a soul traversing two realms, truth and illusion blur... In the realm of the void, a frenzied path of cultivation begins!;https://demonicscans.org/manga/I-Dominate-the-Apocalypse-by-Cultivating-Immortality
I Owe Billions in Debt, So I Was Forced to Work for an Evil God;;64;"Overworked corporate drone Zhou Chen transmigrates into a magic-powered metropolis, only to inherit a dying teenager's sky-high debt: over 10 billion in loan shark interest. Even worse, the original body's final act was a failed summoning of an evil god, leaving Zhou Chen bound by a cursed contract. Now he must fulfill 999 wishes for the evil deity or face complete annihilation, body and soul. His only lifeline is a mysterious, talking artifact known as the ""Divine Notebook."" Watch as this modern-day office warrior uses corporate strategies, overwork tactics, and relentless grind to rise through a brutal world where power rules all. He's not just surviving. He's rewriting fate. This evil god's employee refuses to lie flat!";https://demonicscans.org/manga/I-Owe-Billions-in-Debt%252C-So-I-Was-Forced-to-Work-for-an-Evil-God
I pay my respects to the Cult Leader;;488;"After dying unexpectedly, Chu Xiu discovers he has transmigrated into the game world ""Great Rivers and Lakes, where he has become the Kunlun Sect Leader--a game BOSS who hasn't yet grown to his full power! Reborn in this new life, Chu Xiu faces a critical choice: will he walk the same destined path as a BOSS doomed to be defeated by players, or will he rewrite his fate and compose a new legend where demonic flames sweep across the martial world?";https://demonicscans.org/manga/I-pay-my-respects-to-the-Cult-Leader
I Sacrificed 10,000 Trash Skills to Obtain a S-Tier Skill and Became Unrivaled;;35;na;https://demonicscans.org/manga/I-Sacrificed-10%252C000-Trash-Skills-to-Obtain-a-S%25252DTier-Skill-and-Became-Unrivaled
I Single-Handedly Crush the Chaotic World;;41;How to survive in a chaotic world overrun by zombies? Let's learn from Lin Fan: obey the law, work to earn money, strive to buy a car and house, and be an outstanding citizen who single-handedly flips the chaotic world!;https://demonicscans.org/manga/I-Single%25252DHandedly-Crush-the-Chaotic-World
I Tried to Debut My Kid, But Ended Up Debuting Myself;;76;"Yoon Hyesung is just your average office worker--but in her heart, she's the number-one fan of Na Yeonwoo, a trainee who keeps getting this close to debuting before every opportunity falls through. After yet another failed debut, Hyesung has a full-on meltdown in her room, bawling about the unfair system and her own helplessness. But when she wakes up, she finds herself in a mysterious space with a strange window popping up: [Would you like to accept a reality where your dreams come true?] This must be one of those setups, right? After a brief internal panic, Hyesung makes up her mind. ""If I have to move the world to debut Yeonwoo, I will. Let's go."" Only... things don't go quite as expected. Now she's the one getting scouted?! An uproarious idol fantasy where a fan's obsession turns into her own unexpected rise--can she debut her favorite... or will she end up debuting herself?";https://demonicscans.org/manga/I-Tried-to-Debut-My-Kid%252C-But-Ended-Up-Debuting-Myself
I Use a Top-Tier System to Reshape the World;;54;In the year 2051, the super AI [Creator] reached its ultimate evolution and gained control over the laws of the world. For its own purposes, it transformed the planet into a realm filled with levels and monsters. The protagonist will begin his journey here, rescuing allies, facing thrilling adventures, overthrowing the Creator's regime and laws, and rebuilding a brand-new world!;https://demonicscans.org/manga/I-Use-a-Top%25252DTier-System-to-Reshape-the-World
I Was Thrown Into an Unknown Manga;;37;"A slightly smoother synopsis: ""Scramble Love"" is a smash-hit Japanese romantic comedy manga with over 10 million copies sold. I was thrown into the world of that manga--one I had never even read. And not as a main character, but as a forgettable extra with barely any role.";https://demonicscans.org/manga/I-Was-Thrown-Into-an-Unknown-Manga
I'd Rather Live as a Villain;;41;The protagonist, once an assistant manager on Daeyoung Corporation's Spain team, is forced into a transfer to distribution after having their achievements stolen by superiors. There, He begins working as the personal secretary to Kang Mun-jeong, the only legitimate heir of the Daeyoung Group. Feeling her position threatened, Executive Director Kang Mun-jeong proposes a contract marriage to the protagonist, Yoon Tae-sik, who has served faithfully at her side for three years, in order to once again draw public attention to herself. The price of the marriage: 10 billion won. Thus begins an office drama, as the protagonist carries out the terms of this contract marriage, with 10 billion won on the line.;https://demonicscans.org/manga/I%2527d-Rather-Live-as-a-Villain
I'm an Overworked Corporate Slave, but After Being Embraced by a Dragon, I Started Streaming My Pet Life With a Tiny Dragon and Monsters on a Farm;;40;Decades ago, mysterious dungeons suddenly appeared in Japan. Monsters poured out, plunging the world into chaos. But thanks to international countermeasures, the threat gradually diminished. What was once called a fantasy world became an everyday reality for those living in the present. Joji Makise is one such person, exhausted from dealing with an unreasonable boss and endless overtime. One day on his way home, he comes across an injured, weakened baby dragon. Naming the dragon Ohagi, Joji uploads a video of their encounter--and it instantly goes viral. From dungeon explorations to meeting a wise old wolf, Joji's life takes a turn as he embarks on a dreamy slow-life journey, full of fluffy and adorable creatures.;https://demonicscans.org/manga/I%255C%2527m-an-Overworked-Corporate-Slave%252C-but-After-Being-Embraced-by-a-Dragon%252C-I-Started-Streaming-My-Pet-Life-With-a-Tiny-Dragon-and-Monsters-on-a-Farm
Iljin Demonic Cult;;79;"He was the unrivaled tyrant who trampled over the martial world--Gucheon, the Supreme Lord of the Demonic Cult, feared across the orthodox sects as the Living Heavenly Demon. Leading his cult to dominate the peak of Murim, Gucheon became the symbol of terror itself. But during the final, brutal Great Demonic War, where all sects of Murim united against him, Gucheon was ultimately struck down-- not by warriors, but by an unknown force. Just when he thought it was the end... He opens his eyes-- not in the blood-soaked plains of Murim, but inside a frail, modern-day teenager's body! ""What is this weird world?! Someone send me back!!"" Now stranded in the modern era, the once-unstoppable demon lord must navigate a new jungle: high schools, city streets, and an unfamiliar world without qi or swords. Gucheon descends upon the modern world-- and a new era of chaos begins!";https://demonicscans.org/manga/Iljin-Demonic-Cult
Immortal Cultivation is Just Like This;;161;"In the game World of Cultivation, disgruntled players gather, form an alliance sealed with blood, and vow to make the villain perish. At once, all sides rally and excitement spreads like wildfire, as everyone sees a rosy tomorrow. Except for Lu Bei. He is the so-called villain. ""Calling me a villain? Blaming me for screwing you over? Come on, I'm just an NPC. How on earth can I pull that off? That's how cultivation is!""";https://demonicscans.org/manga/Immortal-Cultivation-is-Just-Like-This
Infinite Evolution Starting from Zero;;121;Exhausting all waste and decline, breaking the limits. Innate talent of a celestial being, a top scholar at the peak. Multiple forms, transcending evolution. Reborn, starting from zero, infinite evolution.;https://demonicscans.org/manga/Infinite-Evolution-Starting-from-Zero
Infinite Extraction: Starting With the Nuclearization of the Immortal World;;77;Chen Ke was accidentally hit by a Dayun heavy truck and died, and then crossed over to the world of cultivating immortals, and when he woke up, he found that he and a group of people had been captured and prepared to bury the monster for his birthday. Just when Chen Ke was desperate, the system was launched, called the Heavens Draw System, which could be used to draw a lottery by shocking others and obtaining shock points. In order to obtain the shock value, Chen Ke boldly provoked the little demon guarding the guard, causing everyone to be shocked, and successively drew some ridiculous items, and then embarked on a path of scientific and technological cultivation!;https://demonicscans.org/manga/Infinite-Extraction%253A-Starting-With-the-Nuclearization-of-the-Immortal-World
Initializing the Sect System;;52;The protagonist, who had worked himself to the bone at the Murim Alliance, finally retires and heads back to his hometown to fulfill his dream of becoming a sect leader. Due to his meager savings, he ends up purchasing a manor that was suspiciously cheap, and rumored to be haunted. But then, an unfamiliar system suddenly appears before him. Though startled at first, the protagonist soon begins to use the system to efficiently recruit disciples and manage the sect's finances and resources. In time, with the help of the system, his sect grows rapidly, so much that it starts drawing the attention, wariness, and hostility of other Murim factions...;https://demonicscans.org/manga/Initializing-the-Sect-System
Isekai Demon Eater – I Became a Monster Eating Hero and Rebelled Against the Kingdom That Abandoned Me;;37;In a strange new world, Nazoru lost everything he held dear. Amid his despair, the only thing left to him was a twisted power--one that grants strength by devouring monsters. Thus begins the tale of a powerless boy who rises in rebellion against the world!;https://demonicscans.org/manga/Isekai-Demon-Eater-%25E2%2580%2593-I-Became-a-Monster-Eating-Hero-and-Rebelled-Against-the-Kingdom-That-Abandoned-Me
Isshun de Chiryou shiteita no ni Yakudatazu to Tsuihousareta Tensai Chiyushi, Yami Healer to shite Tanoshiku Ikiru;;72;Born a poor man in the slums, Zenos never had opportunities in life, so he decides to forge his own opportunities by teaching himself the curative arts after a chance encounter with a healer. When an adventuring party led by a man named Aston extends him an invitation, Zenos is elated--only to then be treated like dirt by his teammates. Despite Zenos's diligent efforts to hone his skills to nothing short of perfection, the party deems him useless and kicks him out. Bereft of money and options, Zenos starts an illegal clinic and becomes a shadow healer. Word of his healing genius spreads quickly throughout the city's underbelly, and as his reputation grows among the dregs of society, knowledge of Zenos's esteem reaches the wrong ears...;https://demonicscans.org/manga/Isshun-de-Chiryou-shiteita-no-ni-Yakudatazu-to-Tsuihousareta-Tensai-Chiyushi%252C-Yami-Healer-to-shite-Tanoshiku-Ikiru
It turns out that I am the second generation of demons;;47;The protagonist, Li Xianyu, on his 20th birthday, learned about his origins. He received an inheritance from his biological father, Li Wuxiang: a house, two hundred thousand in savings, and the Black Water Spirit Orb. After ingesting the Black Water Spirit Orb, he gave birth to Great-Grandma......;https://demonicscans.org/manga/It-turns-out-that-I-am-the-second-generation-of-demons
Jade of the Eight Gates;;51;Jucho', a government official manipulating the young king from behind, begins to express his ambition to oust the king and take real power and plots a ruse. Meanwhile, 'Handong', a member of the emperor's special unit 'Surajo', meets the boy 'Jinbaek' in a village he entered to following the traces of his disappeared colleague, and learns that his colleague met his end in this village. These two people who fought with the people sent by Jucho knew that they needed eight jades to rescue Jinbaek grandfather who was held hostage and to stop Jucho's ambition, they started the journey together...;https://demonicscans.org/manga/Jade-of-the-Eight-Gates
Kamigami no Kennou wo Ayatsurishi Mono ~Nouryoku Suuchi;;33;"Over a hundred years have passed since the emergence of ""Ability Users,"" those who possess supernatural powers and the monstrous aberrations that can only be defeated by said powers. Living in such a time, Yanagi Hayato's ability score is ""0"" marks him as a powerless individual, subjecting him to a life of constant oppression and mistreatment. In reality, Hayato's displayed score is nothing more than a bug caused by his ability, [Transcendent], the power to ""sublimate himself into any existence."" But the truth is, he's just been hiding the power to easily annihilate monsters-?!";https://demonicscans.org/manga/Kamigami-no-Kennou-wo-Ayatsurishi-Mono-%257ENouryoku-Suuchi-%25220%2522-de-Sagesumareteiru-Ore-da-ga%252C-Jitsu-wa-Sekai-Saikyou-no-Ikkaku%257E
Kidnapped Dragons;;57;- The planet [Earth] has entered the abnormal state [Apocalypse]. - You have failed in saving the Earth. The Authority, [Vintage Clock (EX)] rewinds the world's time. For Yu Jitae, it was a message he had seen many times. It was tiresome. It would have been great had he died with everyone else. But he couldn't, for his authorities that made him the strongest existence, brought him back in time whenever he died. And even with his strength, he couldn't protect the broad earth against the maddened dragons. - The world's time will soon begin. As the clock resumed ticking in the direction it should, his 7th iteration came to a start. Fortunately, he finally had the gist of it.;https://demonicscans.org/manga/Kidnapped-Dragons
Kim Ohjin's Adventures with Strange Animals;;59;"Veterinarian Kim Ohjin was unexpectedly summoned by a dragon. After successfully treating the dragon's pet, he returns home... only to find himself in another world. ""Animals in another world are still animals, right?"" I was a vet barely scraping by in the real world, but now, in this strange new world, I'm a renowned doctor? With my old clinic on the verge of closing, I'm setting my sights on a new opportunity--my second clinic, and hopefully, a big success";https://demonicscans.org/manga/Kim-Ohjin%2527s-Adventures-with-Strange-Animals
King of Beasts;;59;N/A;https://demonicscans.org/manga/King-of-Beasts
Legendary Retirement;;30;On a celestial battlefield, the great warrior Boom once stood alongside gods and angels to defend the fabric of existence. Now, this fabled hero lives out his days in a quaint village where legendary figures spend their eternal retirement. Because legends may never die, but they have to wind up somewhere. Life there is quiet, almost boring, until a band of bandits and an overzealous kingdom threaten the peace. The time has come for Boom and his companions to rise once more and face a new enemy!;https://demonicscans.org/manga/Legendary-Retirement
Leu Leu Leu;;35;"In the midst of ordinary daily life, monstrous creatures suddenly appear--and around them, students begin transforming into monsters one by one. Normality is utterly destroyed; rescue seems impossible. The students, forced into survival, band together in their own ways to fight and endure.";https://demonicscans.org/manga/Leu-Leu-Leu
Level 999 Goblin;;60;The protagonist Kim Chulsoo works his ass off for a living as a manual laborer in real life and by grinding for and selling items in a game. He finally gets the chance to switch to a hidden class, hoping for that one big shot in life...! But the hidden class turns out to be... a Goblin Summoner?!;https://demonicscans.org/manga/Level-999-Goblin
Librale of reincarnation;;33;In order to protect the person he loves most, Johan Liebrall killed the world's strongest hero. In doing so, he became an enemy of the world and is now a hunted man. Johan possessed an overwhelmingly overpowered cheat ability-- [The Power to Rewind Time] . However, once his ability was discovered, countermeasures were developed against it, and assassins began targeting him with every means imaginable. Can Johan defeat his worst enemies and successfully protect the heroine?;https://demonicscans.org/manga/Librale-of-reincarnation
Limit-Breaking Genius Mage;;65;Verdan, a researcher who had no talent as a mage, aimed to reach the pinnacle of the Magic Tower through his genius intellect. However, after catching the eye of the Tower Master, he became one of the tower's test subjects. After enduring seven long years of humiliation and despair, Verdan finally begins to act, determined to break through his own limits using the theories he developed and the Magic Tower's power source!;https://demonicscans.org/manga/Limit%25252DBreaking-Genius-Mage
Lord of Summons! Sudden Mutation;;145;The apocalypse came. Monsters inside the game broke through the dimensional barrier and started a massacre, driving human civilization on the Blue Planet to the verge of destruction. At the last moment of collapse, his time was suddenly rewound back to the moment the game first appeared. Now he is dedicated to finding out the one behind this, protecting his home and preventing the tragedy from happening again. Thus, a game of revenge begins, racing against time...;https://demonicscans.org/manga/Lord-of-Summons%2521-Sudden-Mutation
Lv. 99 Princess of Black Flame;;47;PLOT UPDATING SOON;https://demonicscans.org/manga/Lv.-99-Princess-of-Black-Flame
Magic Lord;;54;In this era known as the Decline of Magic, I alone wield the power of the dragon. The two bonds I saved in this life, and the precious companions who have now become an inseparable part of my life, A new life, a new identity, and new power. I have all of it. The person I am now...can change this world.;https://demonicscans.org/manga/Magic-Lord
Martial Evolution: Start by Awakening the King of Monsters;;152;A youth named Yi He is reborn into the world of powerful Martial arts and awakens the King of Monsters with the strongest bloodline!;https://demonicscans.org/manga/Martial-Evolution%253A-Start-by-Awakening-the-King-of-Monsters
Master of All Skills;;45;"""Whoa, your skill is insane!"" [Skill successfully copied.] There's no power he can't claim. What's yours becomes his--what's his stays his. This is the beginning of Yoo Ju-Yeon's unstoppable rise as the ultimate Skill Master!";https://demonicscans.org/manga/Master-of-All-Skills
Meteor: The Supersonic Savior;;42;"That single catastrophe didn't just change lives... it created a legend--and a nightmare. Lee Rowoon was just a paraplegic high school student--until the day he survived a devastating plane crash that should have killed him. From the wreckage, he rises with a miracle: legs that move faster than anything alive... unchained, unstoppable. But he wasn't the only one who came back. Choi Soohyuk witnessed the same hell--and awakened something far more terrifying: overwhelming telekinesis. With a warped sense of justice, he doesn't want to save the world... he wants to reshape it. Now, Rowoon steps into the role of his lifelong idol, becoming the blazing-fast hero ""Star Sonic,"" racing against time to protect the innocent. Meanwhile, Soohyuk becomes a walking disaster, crushing everything that stands in his way. Two survivors. One origin. Opposite destinies. When speed clashes with unstoppable force... the world won't survive unchanged. A relentless, high-octane superpower action thriller--where every second counts, and every move could be your last.";https://demonicscans.org/manga/Meteor%253A-The-Supersonic-Savior
Mia Returns;;45;Five years ago, my first love, Cha Mia, disappeared. Now, she has reappeared before me, completely changed. An unexpected reunion at the police station... and she turns out to be a freshman at the same university? The story of two people who thought it was over begins again on campus... or so I thought, but she still insists on letting the past go.;https://demonicscans.org/manga/Mia-Returns
Ministry of Strategy and Finance;;67;I was always a good person. And with a smile on my face, I ran the country into the ground. Wasting a 5,000 trillion won budget to chase approval ratings plunged South Korea into its second IMF crisis. His life as the president who ruined the country over, Lee Seong-jun finds himself 30 years in the past. He returns to find a budget proposal--riddled with dirty tricks, corruption, and blatant self-interest--being pushed through the Ministry of Economy and Finance. 'I have to block all of these budget proposals, even if I'm vilified for it. It's the only way to save this country.' The dirty tricks, political strategies, and media manipulation I learned over 30 years in politics... I will use every last one to become the gatekeeper of the nation's coffers.;https://demonicscans.org/manga/Ministry-of-Strategy-and-Finance
Mood Disorder;;91;"[From the Same Studio as the Manhua ""Girl and Science""] Everybody is crazy except me. But is it a misfortune to be sane in a crazy world?";https://demonicscans.org/manga/Mood-Disorder
Mr. War: The Ultimate Ex-Soldier;;50;"George, a legendary special forces soldier feared by both allies and enemies, earned the nickname ""Mr. War"" for his unmatched combat prowess. But betrayed by his own comrades, he met his end on the battlefield in a deadly conspiracy. Presumed dead, he suddenly awakens in a filthy slum known as Industrial Waste Island... a lawless zone ruled by violence and exploitation. Reborn as Michio, a powerless slave laborer, he finds himself at the bottom of society. But with his brilliant mind and lethal skills, Mr. War is ready to climb back to the top... and make his enemies pay.";https://demonicscans.org/manga/Mr.-War%253A-The-Ultimate-Ex%25252DSoldier
Murim Psychopath;;41;"[Welcome to Murim Online, the world where the strongest reside.] [Your device has malfunctioned, and logging out failed.] [Would you like to attempt to disconnect once more?] [Yes or No] When he tried returning to virtual reality, the place he logged into was instead the ""real Murim."" A once-in-an-era psychopath fell into the Murim due to the Grim Reaper's mistake. Dong Bongsu's merciless fangs cast a shadow over Murim, which is rife with schemes and malice.";https://demonicscans.org/manga/Murim-Psychopath
Murim's Youngest Miracle Demon Doctor;;88;In the world of Murim, there are two legendary titles: Shin-ui (??) - the Divine Doctor of the Orthodox Sect, and Ma-ui (??) - the Demonic Doctor of the Unorthodox Sect. What if... ... these two opposing forces... got married? From this legendary union comes Dan Ak-seon, a child born with the unmatched medical genius of both parents. But just as he's growing up, fate intervenes. A mysterious absolute master appears before him-- an encounter that will pull young Ak-seon into the chaos of the martial world. Armed with both divine and demonic healing arts, his journey through the rivers and lakes of Murim begins now!;https://demonicscans.org/manga/Murim%2527s-Youngest-Miracle-Demon-Doctor
My Revenge Begins With Skill Theft;;50;"A high school student, Yuki Jinbo, was living every day steeped in violence and humiliation. But one day, a ""Quest Board"" appeared before his eyes, granting him the skill Ability Hunt as a reward. It was an extraordinary power that let him steal everything from others--their talent, memories, physical strength. Yuki begins climbing the steps of revenge alone, taking power from those who hurt him. But behind that power lies a hidden truth: a ""proxy war"" where gods use humans as pawns to fight their battles. ""I'll sell my soul to the devil if that's what it takes to get revenge...!"" Awaiting him at the end of his vengeance is a supernatural battle over the gods' chosen champion. An ordinary boy transforms into something that can surpass even the gods themselves--";https://demonicscans.org/manga/My-Revenge-Begins-With-Skill-Theft
My Starting Talent is Mythical, A Single Strike Smites Deities;;51;N/A;https://demonicscans.org/manga/My-Starting-Talent-is-Mythical%252C-A-Single-Strike-Smites-Deities
My Trash Skill 'Appraisal' Awakened into 'Inheritance' — Now I Wield the Power of Heroes and Stand Unmatched!;;34;"My Trash Skill 'Appraisal' Awakened into 'Inheritance' -- Now I Wield the Power of Heroes and Stand Unmatched! Summary: Lacking any combat skills, Eustus was just another adventurer stuck at the bottom. That is, until the day his life changed forever when he awakened ""Inheritance"", the power to gain the memories and abilities of anyone, simply by touching something they once owned! He starts by tapping into the legacies of the heroes who once saved the world: the unmatched Sword Saint, the far-seeing Archer, the god-speed Lancer, the miracle-working Saintess, and the prodigy Archmage... inheriting their very lives and skills! With the strength and spirit of legends flowing through him, Eustus' journey from zero to the strongest in history begins! Expand";https://demonicscans.org/manga/My-Trash-Skill-%2527Appraisal%2527-Awakened-into-%2527Inheritance%2527-%25E2%2580%2594-Now-I-Wield-the-Power-of-Heroes-and-Stand-Unmatched%2521
My Wife is the Demonic Cult Leader;;65;"I became the first son of the Demonic Heaven clan--one of the Six Great Clans of the Heavenly Demonic Cult--Jin Yeomyung. I was ready to enjoy a sweet life with a silver spoon in my mouth, but thanks to that damn Murim Alliance, the Heavenly Demonic Cult was destroyed. But in my final moments, Cult Leader Cheon Yura turned to me and said... ""Would you mind seducing me?""";https://demonicscans.org/manga/My-Wife-is-the-Demonic-Cult-Leader
Mysterious Revival: Starting with a Trillion Ghost Coins;;62;"In a strange post-apocalyptic world, the protagonist Chen Mu is reborn with a trillion ghost coins in hand. From the very beginning he becomes a kind of ""angel investor"": while others are fighting desperately over just a few ghost coins, Chen Mu is already buying up all kinds of eerie locations. While everyone else is still groping for survival within existing rules, he instead overturns the table and becomes the one who sets those rules. ""You can even play the apocalypse like this?"" Faced with such doubts, Chen Mu just curls his lips and says: ""Relax--I've got this.";https://demonicscans.org/manga/Mysterious-Revival%253A-Starting-with-a-Trillion-Ghost-Coins
Never mess with Senior Brother;;44;"Ye Yu transmigrated to the Profound Heaven Continent, a land where myriad clans stood tall and strength reigned supreme. By chance, he awakened the Burial System, becoming invincible in the mortal world and gazing down upon the rise and fall of all beings. His junior sister, Shi Xinshui, could hear Ye Yu's inner voice and knew well that though he appeared generous on the surface, he was in truth ruthless. Thus, she warned everyone: ""Never provoke Senior Brother!""";https://demonicscans.org/manga/Never-mess-with-Senior-Brother
Nine Methods of Ascending the Clouds: First Ranked Immortal;;60;If you want to learn how to be a god, you can ride a crane to the sky. Turning stones into gold? You can do so in mere seconds!;https://demonicscans.org/manga/Nine-Methods-of-Ascending-the-Clouds%253A-First-Ranked-Immortal
Nine Star Jinx;;36;Jiang Xiao has transmigrated, his soul crossing into a world filled with 'Star Force.' Here, Star Charts, Star Techniques, and Star Warriors reign supreme. With extremely poor natural talent, Jiang Xiao originally thought he could only hide in the corners and slack off. Unexpectedly, the Star Chart within his body harbors hidden mysteries, and he's even become an extremely rare healing-type Awakener! Thus, he begins his cultivation journey in this Star Martial world, step by step becoming a powerhouse, even earning the title of 'God of Jinxes' from everyone...;https://demonicscans.org/manga/Nine-Star-Jinx
